word,level
socorro,A2
carne de pollo,A2
ramo de flores,A2
ciudad industrial,A2
vaso,A2
botas,A2
dejar una nota,A2
reservado,A2
gel,A2
ópera,A2
pedir una sopa,A2
uniforme,A2
buscar alojamiento,A2
merluza,A2
estar jubilado,A2
hobby,A2
tener corto,A2
dejar una propina,A2
gorra,A2
guerra,A2
presentador,A2
recibir un correo,A2
cuadro,A2
aula,A2
alumno del instituto,A2
gustar,A2
frutería,A2
tomar algo,A2
princesa,A2
pasear,A2
tener liso,A2
comprar un producto,A2
amable,A2
infusión,A2
carne de cerdo,A2
gafas,A2
coger el tren,A2
mamá,A2
jugar a las cartas,A2
blusa,A2
jugar al parchís,A2
anuncios,A2
traer el menú del día,A2
hacer senderismo,A2
docena de huevos,A2
cielo,A2
medias,A2
nieve,A2
Suroeste,A2
comida japonesa,A2
escuela de música,A2
llevar liso,A2
creer en Alá,A2
comisaría de policía,A2
carne de ternera,A2
concierto de música clásica,A2
lavadora,A2
tener una entrevista de trabajo,A2
limpiar el baño,A2
suspender,A2
ron,A2
tener una enfermedad,A2
ex marido,A2
recibir un fax,A2
viajar en coche,A2
hijo único,A2
tarta de manzana,A2
pie,A2
sal,A2
en buen estado,A2
pagar la matrícula,A2
creer en Dios,A2
casarse,A2
ropa de hombre,A2
bueno,A2
pasta de dientes,A2
sin amueblar,A2
multinacional,A2
consultar un mapa,A2
Cruz Roja,A2
panadería,A2
dedo,A2
llamar por teléfono,A2
tomar un café,A2
hermanos gemelos,A2
extensión,A2
lavarse,A2
responder a una llamada,A2
tener una entrevista,A2
pierna,A2
excursión,A2
plato,A2
ser calvo,A2
parque de atracciones,A2
bañador,A2
enviar,A2
quitarse,A2
lavar la ropa,A2
hacer las maletas,A2
teléfono de emergencia,A2
rueda,A2
dormitorio de invitados,A2
doler la cabeza,A2
restaurante mexicano,A2
jazz,A2
papá,A2
responder una carta,A2
fotografía,A2
flamenco,A2
vuelo,A2
compañero de clase,A2
tomar el tren,A2
ir de excursión,A2
periodista,A2
chatear,A2
escribir una nota,A2
escritor,A2
tener alergia,A2
gato,A2
estar preocupado,A2
bosque,A2
pesar,A2
compañero de piso,A2
viaje largo,A2
cocina de gas,A2
literatura,A2
anuncio,A2
jardín,A2
Sudeste,A2
queso,A2
tomar un medicamento,A2
aire,A2
director,A2
novela,A2
